2021-05-21 10:09:06,416 | 5208 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-21 10:09:06,417 | 5208 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-21 10:09:10,354 | 5208 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54814) is connected
2021-05-21 10:09:10,357 | 5208 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54816) is connected
2021-05-21 10:09:10,360 | 5208 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54818) is connected
2021-05-21 10:09:10,370 | 5208 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:09:10,370 | 5208 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x1f\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,373 | 5208 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x1f\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,375 | 5208 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x1f\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,376 | 5208 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:09:10,376 | 5208 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:09:10,378 | 5208 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00 \x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,384 | 5208 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00 \x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,388 | 5208 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00 \x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,390 | 5208 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:09:10,391 | 5208 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:09:10,391 | 5208 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00!\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,398 | 5208 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00!\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,401 | 5208 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00!\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,403 | 5208 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:09:10,411 | 5208 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 10:09:10,412 | 5208 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:09:10,412 | 5208 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\xb2^\x00y\x04\x05\x00\x08\xb2^\x00z'
2021-05-21 10:09:10,414 | 5208 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\xb2^\x00y\x04\x05\x00\x08\xb2^\x00z'
2021-05-21 10:09:10,422 | 5208 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\xb2^\x00y\x04\x05\x00\x08\xb2^\x00z'
2021-05-21 10:09:10,425 | 5208 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:09:10,426 | 5208 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f903fb50460>
2021-05-21 10:09:10,427 | 5208 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00\x1f\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,428 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:09:10,428 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 16, 'enum_ref': None}
2021-05-21 10:09:10,430 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 31, 'enum_ref': None}
2021-05-21 10:09:10,432 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 1, 'enum_ref': None}
2021-05-21 10:09:10,439 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:09:10,440 | 5208 | api.observer, parse, 26 | ERROR | Failed to unpack data : 'Type' object has no attribute 'nameE'
2021-05-21 10:09:10,441 | 5208 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f903fb50610>
2021-05-21 10:09:10,446 | 5208 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00 \x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,446 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:09:10,447 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 16, 'enum_ref': None}
2021-05-21 10:09:10,447 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 32, 'enum_ref': None}
2021-05-21 10:09:10,448 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 1, 'enum_ref': None}
2021-05-21 10:09:10,449 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:09:10,449 | 5208 | api.observer, parse, 26 | ERROR | Failed to unpack data : 'Type' object has no attribute 'nameE'
2021-05-21 10:09:10,450 | 5208 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f903fb50790>
2021-05-21 10:09:10,452 | 5208 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00!\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:09:10,453 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:09:10,458 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 16, 'enum_ref': None}
2021-05-21 10:09:10,466 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 33, 'enum_ref': None}
2021-05-21 10:09:10,468 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 1, 'enum_ref': None}
2021-05-21 10:09:10,471 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:09:10,472 | 5208 | api.observer, parse, 26 | ERROR | Failed to unpack data : 'Type' object has no attribute 'nameE'
2021-05-21 10:09:10,474 | 5208 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f903fb50370>
2021-05-21 10:09:10,474 | 5208 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x08\xb2^\x00y\x04\x05\x00\x08\xb2^\x00z'
2021-05-21 10:09:10,475 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:09:10,482 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:09:10,483 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 2992504953, 'enum_ref': None}
2021-05-21 10:09:10,484 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 1029, 'enum_ref': None}
2021-05-21 10:09:10,485 | 5208 | api.observer, todict, 42 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:09:10,498 | 5208 | api.observer, parse, 26 | ERROR | Failed to unpack data : 'Type' object has no attribute 'nameE'
2021-05-21 10:09:10,499 | 5208 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 10:09:10,501 | 5208 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:09:10,502 | 5208 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08$\x9d\x9eK\x04\x05\x00\x08$\x9d\x9eL'
2021-05-21 10:09:10,502 | 5208 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08$\x9d\x9eK\x04\x05\x00\x08$\x9d\x9eL'
