2021-05-05 17:53:24,843 | 4352 | proxy.proxy, start_server, 206 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 17:53:24,847 | 4352 | proxy.proxy, start_server, 209 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 17:53:26,487 | 4352 | proxy.proxy, handle_switch, 223 | INFO | Client ('127.0.0.1', 37022) is connected
2021-05-05 17:53:26,488 | 4352 | proxy.proxy, handle_switch, 223 | INFO | Client ('127.0.0.1', 37024) is connected
2021-05-05 17:53:26,489 | 4352 | proxy.proxy, handle_switch, 223 | INFO | Client ('127.0.0.1', 37026) is connected
2021-05-05 17:53:26,490 | 4352 | proxy.proxy, open_connection, 319 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 17:53:26,490 | 4352 | proxy.proxy, create_channel, 154 | DEBUG | no connectable controller
2021-05-05 17:53:26,491 | 4352 | proxy.proxy, open_connection, 319 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 17:53:26,491 | 4352 | proxy.proxy, create_channel, 154 | DEBUG | no connectable controller
2021-05-05 17:53:26,492 | 4352 | proxy.proxy, open_connection, 319 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 17:53:26,492 | 4352 | proxy.proxy, create_channel, 154 | DEBUG | no connectable controller
2021-05-05 17:53:35,100 | 4352 | proxy.proxy, handle_switch, 223 | INFO | Client ('127.0.0.1', 37038) is connected
2021-05-05 17:53:35,120 | 4352 | proxy.proxy, handle_switch, 223 | INFO | Client ('127.0.0.1', 37040) is connected
2021-05-05 17:53:35,136 | 4352 | proxy.proxy, handle_switch, 223 | INFO | Client ('127.0.0.1', 37042) is connected
2021-05-05 17:53:35,150 | 4352 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:53:35,156 | 4352 | proxy.proxy, handle_switch, 236 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00$\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,157 | 4352 | proxy.proxy, send_to_controller, 377 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00$\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,160 | 4352 | proxy.proxy, send_to_controller, 69 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00$\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,162 | 4352 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:53:35,169 | 4352 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:53:35,178 | 4352 | proxy.proxy, handle_switch, 236 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00%\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,181 | 4352 | proxy.proxy, send_to_controller, 377 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00%\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,187 | 4352 | proxy.proxy, send_to_controller, 69 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00%\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,208 | 4352 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:53:35,214 | 4352 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:53:35,216 | 4352 | proxy.proxy, handle_switch, 236 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00&\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,220 | 4352 | proxy.proxy, send_to_controller, 377 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00&\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,221 | 4352 | proxy.proxy, send_to_controller, 69 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00&\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,223 | 4352 | proxy.proxy, handle_switch, 234 | DEBUG | waiting data ......
2021-05-05 17:53:35,230 | 4352 | proxy.proxy, handle_controller, 336 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 17:53:35,233 | 4352 | proxy.proxy, handle_controller, 341 | DEBUG | waiting data ......
2021-05-05 17:53:35,234 | 4352 | proxy.proxy, handle_controller, 343 | DEBUG | read b'\x04\x00\x00\x08\x88\xb1\xe9\xb0\x04\x05\x00\x08\x88\xb1\xe9\xb1'
2021-05-05 17:53:35,235 | 4352 | proxy.proxy, send_to_switch, 272 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\x88\xb1\xe9\xb0\x04\x05\x00\x08\x88\xb1\xe9\xb1'
2021-05-05 17:53:35,236 | 4352 | proxy.proxy, send_to_switch, 87 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\x88\xb1\xe9\xb0\x04\x05\x00\x08\x88\xb1\xe9\xb1'
2021-05-05 17:53:35,236 | 4352 | proxy.proxy, handle_controller, 341 | DEBUG | waiting data ......
2021-05-05 17:53:35,240 | 4352 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: b'\x04\x00\x00\x10\x00\x00\x00$\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,250 | 4352 | api.observer, update, 33 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00$\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 17:53:35,672 | 4352 | api.observer, update, 41 | ERROR | Failed to unpack data : parse() missing 1 required positional argument: 'data'
