2021-05-21 10:05:54,165 | 5172 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-21 10:05:54,166 | 5172 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-21 10:05:56,095 | 5172 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54632) is connected
2021-05-21 10:05:56,098 | 5172 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:05:56,099 | 5172 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 10:05:56,100 | 5172 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:05:56,100 | 5172 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\xd6B\x82\x12'
2021-05-21 10:05:56,101 | 5172 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\xd6B\x82\x12'
2021-05-21 10:05:56,101 | 5172 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\xd6B\x82\x12'
2021-05-21 10:05:56,103 | 5172 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:05:56,103 | 5172 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7fe87fe2e160>
2021-05-21 10:05:56,104 | 5172 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x08\xd6B\x82\x12'
2021-05-21 10:05:56,104 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:05:56,105 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:05:56,105 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 3594682898, 'enum_ref': None}
2021-05-21 10:05:56,112 | 5172 | api.observer, parse, 16 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 3594682898}, 'elements': []}
2021-05-21 10:05:56,112 | 5172 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x1c\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:05:56,115 | 5172 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x1c\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:05:56,116 | 5172 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x1c\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:05:56,117 | 5172 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:05:56,121 | 5172 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7fe87fe1ec40>
2021-05-21 10:05:56,130 | 5172 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00\x1c\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:05:56,131 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:05:56,132 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 16, 'enum_ref': None}
2021-05-21 10:05:56,133 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 28, 'enum_ref': None}
2021-05-21 10:05:56,138 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 1, 'enum_ref': None}
2021-05-21 10:05:56,138 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:05:56,139 | 5172 | api.observer, parse, 16 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 16, 'xid': 28}, 'elements': [{'element_type': 1, 'length': 8, 'content': {'enum_ref': None}}]}
2021-05-21 10:05:56,140 | 5172 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54636) is connected
2021-05-21 10:05:56,144 | 5172 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x05\x00\x08\xd6B\x82\x13'
2021-05-21 10:05:56,146 | 5172 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x05\x00\x08\xd6B\x82\x13'
2021-05-21 10:05:56,149 | 5172 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x05\x00\x08\xd6B\x82\x13'
2021-05-21 10:05:56,150 | 5172 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:05:56,151 | 5172 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7fe87fe2e250>
2021-05-21 10:05:56,174 | 5172 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x05\x00\x08\xd6B\x82\x13'
2021-05-21 10:05:56,174 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:05:56,175 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:05:56,177 | 5172 | api.observer, todict, 39 | DEBUG | UBIntBase, key : {'_value': 3594682899, 'enum_ref': None}
2021-05-21 10:05:56,180 | 5172 | api.observer, parse, 16 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 5, 'length': 8, 'xid': 3594682899}}
