2021-05-05 19:01:49,273 | 3040 | proxy.proxy, start_server, 208 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 19:01:49,274 | 3040 | proxy.proxy, start_server, 211 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 19:02:09,761 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35314) is connected
2021-05-05 19:02:09,762 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:09,763 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:11,714 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35318) is connected
2021-05-05 19:02:11,715 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:11,716 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:11,718 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35322) is connected
2021-05-05 19:02:11,720 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:11,732 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:11,736 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35326) is connected
2021-05-05 19:02:11,753 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:11,765 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:12,902 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35330) is connected
2021-05-05 19:02:12,904 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35332) is connected
2021-05-05 19:02:12,906 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35334) is connected
2021-05-05 19:02:12,907 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:12,910 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:12,911 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:12,912 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:12,914 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:12,917 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:15,266 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35342) is connected
2021-05-05 19:02:15,269 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:15,270 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:15,271 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35344) is connected
2021-05-05 19:02:15,272 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35346) is connected
2021-05-05 19:02:15,274 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:15,275 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:15,276 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:15,279 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:19,770 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35354) is connected
2021-05-05 19:02:19,771 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35356) is connected
2021-05-05 19:02:19,775 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:19,775 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:19,777 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:19,777 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
2021-05-05 19:02:19,778 | 3040 | proxy.proxy, handle_switch, 225 | INFO | Client ('127.0.0.1', 35360) is connected
2021-05-05 19:02:19,780 | 3040 | proxy.proxy, open_connection, 321 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 19:02:19,781 | 3040 | proxy.proxy, create_channel, 156 | DEBUG | no connectable controller
