2021-05-21 09:56:56,791 | 4874 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-21 09:56:56,791 | 4874 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-21 09:57:02,696 | 4874 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54150) is connected
2021-05-21 09:57:02,701 | 4874 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54152) is connected
2021-05-21 09:57:02,712 | 4874 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54154) is connected
2021-05-21 09:57:02,716 | 4874 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:57:02,716 | 4874 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x13\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,721 | 4874 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x13\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,722 | 4874 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x13\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,725 | 4874 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:57:02,725 | 4874 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:57:02,727 | 4874 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x14\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,729 | 4874 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x14\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,730 | 4874 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x14\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,736 | 4874 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:57:02,737 | 4874 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:57:02,738 | 4874 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x15\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,742 | 4874 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x15\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,750 | 4874 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x15\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:57:02,751 | 4874 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:57:02,752 | 4874 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 09:57:02,753 | 4874 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
