2021-05-05 13:36:31,012 | 21315 | proxy.proxy, start_server, 155 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 13:36:31,012 | 21315 | proxy.proxy, start_server, 158 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 13:36:33,917 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62323) is connected
2021-05-05 13:36:33,918 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:33,919 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:34,920 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62325) is connected
2021-05-05 13:36:34,921 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:34,921 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:35,923 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62327) is connected
2021-05-05 13:36:35,928 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:35,928 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:36,921 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62329) is connected
2021-05-05 13:36:36,922 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:36,923 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:37,923 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62331) is connected
2021-05-05 13:36:37,924 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:37,924 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:38,926 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62333) is connected
2021-05-05 13:36:38,928 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:38,929 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:39,924 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62335) is connected
2021-05-05 13:36:39,925 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:39,925 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:40,927 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62337) is connected
2021-05-05 13:36:40,928 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:40,928 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:41,928 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62339) is connected
2021-05-05 13:36:41,928 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:41,929 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:36:42,928 | 21315 | proxy.proxy, handle_switch, 172 | INFO | Client ('127.0.0.1', 62341) is connected
2021-05-05 13:36:42,929 | 21315 | proxy.proxy, open_connection, 262 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6633)
2021-05-05 13:36:42,929 | 21315 | proxy.proxy, create_channel, 103 | DEBUG | no connectable controller
2021-05-05 13:42:33,621 | 21315 | root, <module>, 51 | INFO | keyboardInterrupt : 
