2021-05-05 16:31:23,562 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,564 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,564 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,565 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,570 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,571 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,571 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,572 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,572 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,575 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,576 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,576 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,577 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,579 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,583 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,591 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,592 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,596 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,597 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,598 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,598 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,598 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,602 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,603 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,603 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,604 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,604 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,605 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,605 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,605 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,606 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,607 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,607 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,607 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,608 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,608 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,609 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,613 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,615 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,616 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,616 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,617 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,628 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,630 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,631 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,632 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,633 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,638 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,639 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,640 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,640 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,641 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,643 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,644 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,645 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,650 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,651 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,655 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,656 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,665 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,666 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,668 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,670 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,679 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,681 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,681 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,682 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,683 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,684 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,685 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,686 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,687 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,696 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,697 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,698 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,698 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,699 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,699 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,700 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,700 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,707 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,709 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,710 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:31:23,715 | 3437 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:31:23,717 | 3437 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:31:23,718 | 3437 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
