2021-05-05 16:33:55,683 | 3469 | proxy.proxy, start_server, 199 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 16:33:55,684 | 3469 | proxy.proxy, start_server, 202 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 16:33:59,122 | 3469 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33220) is connected
2021-05-05 16:33:59,123 | 3469 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33222) is connected
2021-05-05 16:33:59,124 | 3469 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33224) is connected
2021-05-05 16:33:59,125 | 3469 | proxy.proxy, open_connection, 312 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 16:33:59,126 | 3469 | proxy.proxy, create_channel, 147 | DEBUG | no connectable controller
2021-05-05 16:33:59,126 | 3469 | proxy.proxy, open_connection, 312 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 16:33:59,127 | 3469 | proxy.proxy, create_channel, 147 | DEBUG | no connectable controller
2021-05-05 16:33:59,127 | 3469 | proxy.proxy, open_connection, 312 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 16:33:59,128 | 3469 | proxy.proxy, create_channel, 147 | DEBUG | no connectable controller
2021-05-05 16:34:07,634 | 3469 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33238) is connected
2021-05-05 16:34:07,638 | 3469 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33240) is connected
2021-05-05 16:34:07,643 | 3469 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33242) is connected
2021-05-05 16:34:07,653 | 3469 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:07,656 | 3469 | proxy.proxy, handle_switch, 229 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00C\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:07,656 | 3469 | proxy.proxy, send_to_controller, 72 | WARNING | Failed to send to controller : b'\x04\x00\x00\x10\x00\x00\x00C\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:07,657 | 3469 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:07,657 | 3469 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:07,658 | 3469 | proxy.proxy, handle_switch, 229 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00D\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:07,658 | 3469 | proxy.proxy, send_to_controller, 72 | WARNING | Failed to send to controller : b'\x04\x00\x00\x10\x00\x00\x00D\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:07,658 | 3469 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:07,659 | 3469 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:07,659 | 3469 | proxy.proxy, handle_switch, 229 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00E\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:07,660 | 3469 | proxy.proxy, send_to_controller, 72 | WARNING | Failed to send to controller : b'\x04\x00\x00\x10\x00\x00\x00E\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:07,660 | 3469 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:07,662 | 3469 | proxy.proxy, handle_controller, 329 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 16:34:07,662 | 3469 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:07,663 | 3469 | proxy.proxy, handle_controller, 336 | DEBUG | read b'\x04\x00\x00\x08\xde\xcf=\xea'
2021-05-05 16:34:07,663 | 3469 | proxy.proxy, send_to_switch, 90 | WARNING | Failed to send to switch : b'\x04\x00\x00\x08\xde\xcf=\xea'
2021-05-05 16:34:07,663 | 3469 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:07,664 | 3469 | proxy.proxy, handle_controller, 329 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 16:34:07,664 | 3469 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:07,665 | 3469 | proxy.proxy, handle_controller, 336 | DEBUG | read b'\x04\x00\x00\x08\xe8\t"j'
2021-05-05 16:34:07,665 | 3469 | proxy.proxy, send_to_switch, 90 | WARNING | Failed to send to switch : b'\x04\x00\x00\x08\xe8\t"j'
2021-05-05 16:34:07,666 | 3469 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:07,666 | 3469 | proxy.proxy, handle_controller, 329 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 16:34:07,668 | 3469 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:07,669 | 3469 | proxy.proxy, handle_controller, 336 | DEBUG | read b'\x04\x00\x00\x08\x87D\x19\xb9'
2021-05-05 16:34:07,670 | 3469 | proxy.proxy, send_to_switch, 90 | WARNING | Failed to send to switch : b'\x04\x00\x00\x08\x87D\x19\xb9'
2021-05-05 16:34:07,670 | 3469 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
