2021-05-05 09:33:06,952 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:07,406 | 3804 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 09:33:07,406 | 3804 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:33:08,176 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41496) is connected
2021-05-05 09:33:08,177 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:08,178 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41498) is connected
2021-05-05 09:33:08,178 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:08,179 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41500) is connected
2021-05-05 09:33:08,179 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:08,180 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00+\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:08,181 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:08,183 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00,\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:08,184 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:08,184 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00-\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:08,185 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:09,175 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:09,176 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:09,176 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:09,177 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:09,179 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:09,180 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:09,180 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:33:09,181 | 3804 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:33:09,181 | 3804 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:33:11,179 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41504) is connected
2021-05-05 09:33:11,180 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:11,182 | 3804 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00.\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:33:11,185 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:33:11,187 | 3804 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41506) is connected
2021-05-05 09:33:11,188 | 3804 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
