2021-05-21 09:50:15,594 | 4737 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-21 09:50:15,595 | 4737 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-21 09:50:23,382 | 4737 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 53820) is connected
2021-05-21 09:50:23,387 | 4737 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 53822) is connected
2021-05-21 09:50:23,391 | 4737 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 53824) is connected
2021-05-21 09:50:23,393 | 4737 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:50:23,396 | 4737 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x10\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:50:23,398 | 4737 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x10\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:50:23,404 | 4737 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x10\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:50:23,405 | 4737 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:50:23,405 | 4737 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 09:50:23,406 | 4737 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 09:50:23,406 | 4737 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\xf3\x1e\x06\xdd\x04\x05\x00\x08\xf3\x1e\x06\xde'
2021-05-21 09:50:23,406 | 4737 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\xf3\x1e\x06\xdd\x04\x05\x00\x08\xf3\x1e\x06\xde'
2021-05-21 09:50:23,407 | 4737 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\xf3\x1e\x06\xdd\x04\x05\x00\x08\xf3\x1e\x06\xde'
2021-05-21 09:50:23,408 | 4737 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
