2021-05-18 14:33:57,883 | 4041 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-18 14:33:57,884 | 4041 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-18 14:33:58,054 | 4041 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 46460) is connected
2021-05-18 14:33:58,056 | 4041 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 46462) is connected
2021-05-18 14:33:58,059 | 4041 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 46464) is connected
2021-05-18 14:33:58,062 | 4041 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:33:58,063 | 4041 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00%\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:33:58,069 | 4041 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00%\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:33:58,076 | 4041 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00%\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:33:58,081 | 4041 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:33:58,082 | 4041 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:33:58,084 | 4041 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00&\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:33:58,088 | 4041 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00&\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:33:58,090 | 4041 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00&\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:33:58,093 | 4041 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:33:58,093 | 4041 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:33:58,094 | 4041 | proxy.proxy, handle_switch, 255 | DEBUG | read b"\x04\x00\x00\x10\x00\x00\x00'\x00\x01\x00\x08\x00\x00\x00\x10"
2021-05-18 14:33:58,095 | 4041 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b"\x04\x00\x00\x10\x00\x00\x00'\x00\x01\x00\x08\x00\x00\x00\x10"
2021-05-18 14:33:58,096 | 4041 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b"\x04\x00\x00\x10\x00\x00\x00'\x00\x01\x00\x08\x00\x00\x00\x10"
2021-05-18 14:33:58,097 | 4041 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:33:58,102 | 4041 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-18 14:33:58,102 | 4041 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-18 14:33:58,103 | 4041 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x084\xb5\r\n\x04\x05\x00\x084\xb5\r\x0b'
2021-05-18 14:33:58,103 | 4041 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x084\xb5\r\n\x04\x05\x00\x084\xb5\r\x0b'
2021-05-18 14:33:58,104 | 4041 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x084\xb5\r\n\x04\x05\x00\x084\xb5\r\x0b'
2021-05-18 14:33:58,105 | 4041 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-18 14:33:58,118 | 4041 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f0768c0a190>
2021-05-18 14:33:58,123 | 4041 | api.observer, update, 37 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00%\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:33:58,125 | 4041 | api.observer, update, 42 | DEBUG | parsed message : {'header': {'version': {'enum_ref': None}, 'message_type': {}, 'length': {'enum_ref': None}, 'xid': {'enum_ref': None}}, 'elements': [{'element_type': {'enum_ref': None}, 'length': {'enum_ref': None}, 'content': {'enum_ref': None}}]}
2021-05-18 14:33:58,127 | 4041 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f0768c0a4f0>
2021-05-18 14:33:58,128 | 4041 | api.observer, update, 37 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00&\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:33:58,135 | 4041 | api.observer, update, 42 | DEBUG | parsed message : {'header': {'version': {'enum_ref': None}, 'message_type': {}, 'length': {'enum_ref': None}, 'xid': {'enum_ref': None}}, 'elements': [{'element_type': {'enum_ref': None}, 'length': {'enum_ref': None}, 'content': {'enum_ref': None}}]}
2021-05-18 14:33:58,136 | 4041 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f0768c0a7c0>
2021-05-18 14:33:58,136 | 4041 | api.observer, update, 37 | DEBUG | observed from observable: b"\x04\x00\x00\x10\x00\x00\x00'\x00\x01\x00\x08\x00\x00\x00\x10"
2021-05-18 14:33:58,141 | 4041 | api.observer, update, 42 | DEBUG | parsed message : {'header': {'version': {'enum_ref': None}, 'message_type': {}, 'length': {'enum_ref': None}, 'xid': {'enum_ref': None}}, 'elements': [{'element_type': {'enum_ref': None}, 'length': {'enum_ref': None}, 'content': {'enum_ref': None}}]}
2021-05-18 14:33:58,143 | 4041 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f0768c0a9d0>
2021-05-18 14:33:58,144 | 4041 | api.observer, update, 37 | DEBUG | observed from observable: b'\x04\x00\x00\x084\xb5\r\n\x04\x05\x00\x084\xb5\r\x0b'
2021-05-18 14:33:58,144 | 4041 | api.observer, update, 47 | ERROR | Failed to unpack data : invalid packet
2021-05-18 14:33:58,146 | 4041 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-18 14:33:58,146 | 4041 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-18 14:33:58,146 | 4041 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\x91\xd9\x97h\x04\x05\x00\x08\x91\xd9\x97i'
2021-05-18 14:33:58,148 | 4041 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\x91\xd9\x97h\x04\x05\x00\x08\x91\xd9\x97i'
2021-05-18 14:33:58,148 | 4041 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\x91\xd9\x97h\x04\x05\x00\x08\x91\xd9\x97i'
2021-05-18 14:33:58,152 | 4041 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-18 14:33:58,153 | 4041 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-18 14:33:58,154 | 4041 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-18 14:33:58,155 | 4041 | proxy.proxy, handle_controller, 362 | DEBUG | read b"\x04\x00\x00\x08\x0c\x02'\x02\x04\x05\x00\x08\x0c\x02'\x03"
2021-05-18 14:33:58,157 | 4041 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b"\x04\x00\x00\x08\x0c\x02'\x02\x04\x05\x00\x08\x0c\x02'\x03"
