2021-05-21 09:59:05,729 | 4913 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-21 09:59:05,729 | 4913 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-21 09:59:08,089 | 4913 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54270) is connected
2021-05-21 09:59:08,095 | 4913 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54272) is connected
2021-05-21 09:59:08,105 | 4913 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 54274) is connected
2021-05-21 09:59:08,107 | 4913 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:59:08,112 | 4913 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x19\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:59:08,119 | 4913 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x19\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:59:08,121 | 4913 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x19\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:59:08,122 | 4913 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:59:08,122 | 4913 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 09:59:08,123 | 4913 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x1a\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 09:59:08,127 | 4913 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x1a\x00\x01\x00\x08\x00\x00\x00\x10'
