2021-05-05 16:34:48,400 | 3484 | proxy.proxy, start_server, 199 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 16:34:48,401 | 3484 | proxy.proxy, start_server, 202 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 16:34:55,737 | 3484 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33290) is connected
2021-05-05 16:34:55,747 | 3484 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33294) is connected
2021-05-05 16:34:55,751 | 3484 | proxy.proxy, handle_switch, 216 | INFO | Client ('127.0.0.1', 33296) is connected
2021-05-05 16:34:55,753 | 3484 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:55,754 | 3484 | proxy.proxy, handle_switch, 229 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00F\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:55,755 | 3484 | proxy.proxy, send_to_controller, 72 | WARNING | Failed to send to controller : b'\x04\x00\x00\x10\x00\x00\x00F\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:55,755 | 3484 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:55,756 | 3484 | proxy.proxy, handle_controller, 329 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 16:34:55,759 | 3484 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:55,759 | 3484 | proxy.proxy, handle_controller, 336 | DEBUG | read b'\x04\x00\x00\x08#\x14i\xc1'
2021-05-05 16:34:55,760 | 3484 | proxy.proxy, send_to_switch, 90 | WARNING | Failed to send to switch : b'\x04\x00\x00\x08#\x14i\xc1'
2021-05-05 16:34:55,760 | 3484 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:55,761 | 3484 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:55,761 | 3484 | proxy.proxy, handle_switch, 229 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00G\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:55,762 | 3484 | proxy.proxy, send_to_controller, 72 | WARNING | Failed to send to controller : b'\x04\x00\x00\x10\x00\x00\x00G\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:55,762 | 3484 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:55,763 | 3484 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:55,763 | 3484 | proxy.proxy, handle_switch, 229 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00H\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:55,763 | 3484 | proxy.proxy, send_to_controller, 72 | WARNING | Failed to send to controller : b'\x04\x00\x00\x10\x00\x00\x00H\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 16:34:55,764 | 3484 | proxy.proxy, handle_switch, 227 | DEBUG | waiting data ......
2021-05-05 16:34:55,764 | 3484 | proxy.proxy, handle_controller, 329 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 16:34:55,766 | 3484 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:55,766 | 3484 | proxy.proxy, handle_controller, 336 | DEBUG | read b'\x04\x00\x00\x08)Z\xa9&'
2021-05-05 16:34:55,767 | 3484 | proxy.proxy, send_to_switch, 90 | WARNING | Failed to send to switch : b'\x04\x00\x00\x08)Z\xa9&'
2021-05-05 16:34:55,767 | 3484 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:55,768 | 3484 | proxy.proxy, handle_controller, 329 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 16:34:55,768 | 3484 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:34:55,768 | 3484 | proxy.proxy, handle_controller, 336 | DEBUG | read b'\x04\x00\x00\x0890\xb6\xf3'
2021-05-05 16:34:55,769 | 3484 | proxy.proxy, send_to_switch, 90 | WARNING | Failed to send to switch : b'\x04\x00\x00\x0890\xb6\xf3'
2021-05-05 16:34:55,771 | 3484 | proxy.proxy, handle_controller, 334 | DEBUG | waiting data ......
2021-05-05 16:35:03,757 | 3484 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:35:03,758 | 3484 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:35:03,759 | 3484 | proxy.proxy, handle_switch, 246 | INFO | Close the connection and do exit processing
2021-05-05 16:35:03,760 | 3484 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:35:03,761 | 3484 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:35:03,762 | 3484 | proxy.proxy, handle_switch, 246 | INFO | Close the connection and do exit processing
2021-05-05 16:35:03,762 | 3484 | proxy.proxy, handle_switch, 229 | DEBUG | read b''
2021-05-05 16:35:03,763 | 3484 | proxy.proxy, handle_switch, 231 | DEBUG | no data from switch read
2021-05-05 16:35:03,765 | 3484 | proxy.proxy, handle_switch, 246 | INFO | Close the connection and do exit processing
2021-05-05 16:35:11,769 | 3484 | proxy.proxy, handle_controller, 349 | INFO | Close the connection and do exit processing
2021-05-05 16:35:11,770 | 3484 | asyncio, default_exception_handler, 1707 | ERROR | Task was destroyed but it is pending!
task: <Task pending name='Task-11' coro=<ControllerHandler.handle_controller() done, defined at /home/shu/Network/ofcapture/proxy/proxy.py:317> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7fba44c3f760>()]>>
2021-05-05 16:35:11,771 | 3484 | proxy.proxy, handle_controller, 349 | INFO | Close the connection and do exit processing
