2021-05-21 10:42:06,970 | 5932 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-21 10:42:06,971 | 5932 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-21 10:42:12,577 | 5932 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 56620) is connected
2021-05-21 10:42:12,581 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:12,584 | 5932 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 10:42:12,585 | 5932 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:42:12,586 | 5932 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\xa4\xa5\x9e>'
2021-05-21 10:42:12,587 | 5932 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\xa4\xa5\x9e>'
2021-05-21 10:42:12,592 | 5932 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\xa4\xa5\x9e>'
2021-05-21 10:42:12,593 | 5932 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:42:12,593 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084160>
2021-05-21 10:42:12,594 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x08\xa4\xa5\x9e>'
2021-05-21 10:42:12,595 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 2762317374}, 'elements': []}
2021-05-21 10:42:12,596 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_HELLO
2021-05-21 10:42:12,597 | 5932 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x004\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,606 | 5932 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x004\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,606 | 5932 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x004\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,607 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:12,608 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084220>
2021-05-21 10:42:12,608 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x004'
2021-05-21 10:42:12,610 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 16, 'xid': 52}, 'elements': [{'element_type': 1, 'length': 8, 'content': {'enum_ref': None}}]}
2021-05-21 10:42:12,615 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_HELLO
2021-05-21 10:42:12,631 | 5932 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 56624) is connected
2021-05-21 10:42:12,633 | 5932 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 56626) is connected
2021-05-21 10:42:12,637 | 5932 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x05\x00\x08\xa4\xa5\x9e?'
2021-05-21 10:42:12,638 | 5932 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x05\x00\x08\xa4\xa5\x9e?'
2021-05-21 10:42:12,638 | 5932 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x05\x00\x08\xa4\xa5\x9e?'
2021-05-21 10:42:12,642 | 5932 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:42:12,642 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084040>
2021-05-21 10:42:12,643 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x05\x00\x08\xa4\xa5\x9e?'
2021-05-21 10:42:12,643 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 5, 'length': 8, 'xid': 2762317375}}
2021-05-21 10:42:12,644 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_FEATURES_REQUEST
2021-05-21 10:42:12,645 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:12,645 | 5932 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x005\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,647 | 5932 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x005\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,648 | 5932 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x005\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,651 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:12,655 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:12,655 | 5932 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x006\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,655 | 5932 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x006\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,658 | 5932 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x006\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:42:12,659 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:12,660 | 5932 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 10:42:12,660 | 5932 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:42:12,661 | 5932 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\xbf\x93\xa0\x80\x04\x05\x00\x08\xbf\x93\xa0\x81'
2021-05-21 10:42:12,661 | 5932 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\xbf\x93\xa0\x80\x04\x05\x00\x08\xbf\x93\xa0\x81'
2021-05-21 10:42:12,663 | 5932 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\xbf\x93\xa0\x80\x04\x05\x00\x08\xbf\x93\xa0\x81'
2021-05-21 10:42:12,663 | 5932 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:42:12,664 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084730>
2021-05-21 10:42:12,667 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x005'
2021-05-21 10:42:12,674 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 16, 'xid': 53}, 'elements': [{'element_type': 1, 'length': 8, 'content': {'enum_ref': None}}]}
2021-05-21 10:42:12,675 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_HELLO
2021-05-21 10:42:12,675 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084490>
2021-05-21 10:42:12,675 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x006'
2021-05-21 10:42:12,677 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 16, 'xid': 54}, 'elements': [{'element_type': 1, 'length': 8, 'content': {'enum_ref': None}}]}
2021-05-21 10:42:12,678 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_HELLO
2021-05-21 10:42:12,678 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084700>
2021-05-21 10:42:12,678 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x08\xbf\x93\xa0\x80'
2021-05-21 10:42:12,679 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 3214123136}, 'elements': [{'element_type': 1029, 'length': 8, 'content': {'enum_ref': None}}]}
2021-05-21 10:42:12,679 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_HELLO
2021-05-21 10:42:12,680 | 5932 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 10:42:12,680 | 5932 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:42:12,681 | 5932 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08B\xf5\xd4\xad\x04\x05\x00\x08B\xf5\xd4\xae'
2021-05-21 10:42:12,681 | 5932 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08B\xf5\xd4\xad\x04\x05\x00\x08B\xf5\xd4\xae'
2021-05-21 10:42:12,690 | 5932 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08B\xf5\xd4\xad\x04\x05\x00\x08B\xf5\xd4\xae'
2021-05-21 10:42:12,691 | 5932 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:42:12,691 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084b50>
2021-05-21 10:42:12,692 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x08B\xf5\xd4\xad'
2021-05-21 10:42:12,692 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 8, 'xid': 1123407021}, 'elements': [{'element_type': 1029, 'length': 8, 'content': {'enum_ref': None}}]}
2021-05-21 10:42:12,693 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_HELLO
2021-05-21 10:42:13,079 | 5932 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x06\x00 \xa4\xa5\x9e?\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,079 | 5932 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x06\x00 \xa4\xa5\x9e?\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,083 | 5932 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x06\x00 \xa4\xa5\x9e?\x00\x00\x00\x00\x00\x00\x00\x01\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,084 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:13,084 | 5932 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x06\x00 \xbf\x93\xa0\x81\x00\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,085 | 5932 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x06\x00 \xbf\x93\xa0\x81\x00\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,087 | 5932 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x06\x00 \xbf\x93\xa0\x81\x00\x00\x00\x00\x00\x00\x00\x03\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,088 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:13,089 | 5932 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x06\x00 B\xf5\xd4\xae\x00\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,093 | 5932 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x06\x00 B\xf5\xd4\xae\x00\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,095 | 5932 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x06\x00 B\xf5\xd4\xae\x00\x00\x00\x00\x00\x00\x00\x02\x00\x00\x00\x00\xfe\x00\x00\x00\x00\x00\x00O\x00\x00\x00\x00'
2021-05-21 10:42:13,096 | 5932 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:42:13,098 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084bb0>
2021-05-21 10:42:13,098 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x06\x00 \xa4\xa5\x9e?'
2021-05-21 10:42:13,099 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 2762317375}, 'datapath_id': {'enum_ref': None}, 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': {'enum_ref': None}, 'capabilities': '79', 'reserved': 0}
2021-05-21 10:42:13,106 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_FEATURES_REPLY
2021-05-21 10:42:13,107 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084b80>
2021-05-21 10:42:13,107 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x06\x00 \xbf\x93\xa0\x81'
2021-05-21 10:42:13,108 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 3214123137}, 'datapath_id': {'enum_ref': None}, 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': {'enum_ref': None}, 'capabilities': '79', 'reserved': 0}
2021-05-21 10:42:13,109 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_FEATURES_REPLY
2021-05-21 10:42:13,109 | 5932 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f9de7084220>
2021-05-21 10:42:13,113 | 5932 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x06\x00 B\xf5\xd4\xae'
2021-05-21 10:42:13,114 | 5932 | api.observer, parse, 31 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 6, 'length': 32, 'xid': 1123407022}, 'datapath_id': {'enum_ref': None}, 'n_buffers': 0, 'n_tables': 254, 'auxiliary_id': 0, 'pad': {'enum_ref': None}, 'capabilities': '79', 'reserved': 0}
2021-05-21 10:42:13,115 | 5932 | api.observer, dict_ofmsg_handler, 10 | INFO | get msg OFPT_FEATURES_REPLY
2021-05-21 10:42:13,116 | 5932 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x12\x00\x10\xa4\xa5\x9e@\x00\r\x00\x00\x00\x00\x00\x00\x04\x0e\x00P\xa4\xa5\x9eA\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x04\x00\x00\x00\x00\x00\x04\x00\x18\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfd\xff\xff\x00\x00\x00\x00\x00\x00'
