2021-05-12 08:40:45,701 | 3319 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-12 08:40:45,703 | 3319 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-12 08:41:09,876 | 3319 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 43506) is connected
2021-05-12 08:41:09,878 | 3319 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-12 08:41:09,880 | 3319 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-12 08:41:12,393 | 3319 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 43510) is connected
2021-05-12 08:41:12,394 | 3319 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-12 08:41:12,397 | 3319 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-12 08:41:12,399 | 3319 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 43514) is connected
2021-05-12 08:41:12,402 | 3319 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-12 08:41:12,412 | 3319 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-12 08:41:12,433 | 3319 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 43518) is connected
2021-05-12 08:41:12,465 | 3319 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-12 08:41:12,486 | 3319 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-12 08:41:13,576 | 3319 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 43522) is connected
2021-05-12 08:41:13,578 | 3319 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 43524) is connected
2021-05-12 08:41:13,580 | 3319 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-12 08:41:13,580 | 3319 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-12 08:41:13,581 | 3319 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-12 08:41:13,581 | 3319 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-12 08:41:13,705 | 3319 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 43530) is connected
2021-05-12 08:41:13,707 | 3319 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-12 08:41:13,708 | 3319 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
