2021-05-21 10:19:59,558 | 5523 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-21 10:19:59,559 | 5523 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-21 10:20:05,486 | 5523 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 55426) is connected
2021-05-21 10:20:05,491 | 5523 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 55428) is connected
2021-05-21 10:20:05,494 | 5523 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 55430) is connected
2021-05-21 10:20:05,496 | 5523 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:20:05,497 | 5523 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00.\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:20:05,505 | 5523 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00.\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:20:05,511 | 5523 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00.\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:20:05,511 | 5523 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:20:05,512 | 5523 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 10:20:05,513 | 5523 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:20:05,514 | 5523 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\xad\xc3\x97\x85\x04\x05\x00\x08\xad\xc3\x97\x86'
2021-05-21 10:20:05,515 | 5523 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\xad\xc3\x97\x85\x04\x05\x00\x08\xad\xc3\x97\x86'
2021-05-21 10:20:05,515 | 5523 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\xad\xc3\x97\x85\x04\x05\x00\x08\xad\xc3\x97\x86'
2021-05-21 10:20:05,516 | 5523 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:20:05,527 | 5523 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f52edb07160>
2021-05-21 10:20:05,527 | 5523 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x10\x00\x00\x00.\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:20:05,528 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:20:05,529 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 16, 'enum_ref': None}
2021-05-21 10:20:05,529 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 46, 'enum_ref': None}
2021-05-21 10:20:05,530 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 1, 'enum_ref': None}
2021-05-21 10:20:05,530 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:20:05,530 | 5523 | api.observer, parse, 21 | INFO | Parsed msg : {'header': {'version': 4, 'message_type': 0, 'length': 16, 'xid': 46}, 'elements': [{'element_type': 1, 'length': 8, 'content': {'enum_ref': None}}]}
2021-05-21 10:20:05,531 | 5523 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f52edb074f0>
2021-05-21 10:20:05,531 | 5523 | api.observer, update, 38 | DEBUG | observed from observable: b'\x04\x00\x00\x08\xad\xc3\x97\x85\x04\x05\x00\x08\xad\xc3\x97\x86'
2021-05-21 10:20:05,532 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 4, 'enum_ref': None}
2021-05-21 10:20:05,532 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
2021-05-21 10:20:05,534 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 2915276677, 'enum_ref': None}
2021-05-21 10:20:05,535 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 1029, 'enum_ref': None}
2021-05-21 10:20:05,540 | 5523 | api.observer, todict, 44 | DEBUG | UBIntBase, key : {'_value': 8, 'enum_ref': None}
