2021-05-04 20:27:13,908 | 14034 | asyncio, __init__, 59 | DEBUG | Using selector: KqueueSelector
2021-05-04 20:27:13,909 | 14034 | proxy.proxy, open_connection, 213 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-04 20:27:13,910 | 14034 | proxy.proxy, start_server, 117 | INFO | Server on ('127.0.0.1', 63333)
2021-05-04 20:27:13,910 | 14034 | proxy.proxy, start_server, 120 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-04 20:27:31,327 | 14034 | proxy.proxy, handle_switch, 134 | INFO | Client ('127.0.0.1', 63333) is connected
2021-05-04 20:27:31,327 | 14034 | proxy.proxy, handle_switch, 138 | DEBUG | waiting data ......
2021-05-04 20:27:31,328 | 14034 | proxy.proxy, handle_switch, 140 | DEBUG | read b's0'
2021-05-04 20:27:31,328 | 14034 | proxy.proxy, set_switch_data, 40 | DEBUG | DataManager set data from switch b's0'
2021-05-04 20:27:31,328 | 14034 | proxy.proxy, handle_switch, 138 | DEBUG | waiting data ......
2021-05-04 20:27:31,329 | 14034 | proxy.observable, notify_observers, 48 | DEBUG | notify data to observer: b's0'
2021-05-04 20:27:31,329 | 14034 | api.observer, update, 34 | DEBUG | observed from observable: b's0'
2021-05-04 20:27:32,328 | 14034 | proxy.proxy, handle_switch, 134 | INFO | Client ('127.0.0.1', 63333) is connected
2021-05-04 20:27:32,328 | 14034 | proxy.proxy, handle_switch, 138 | DEBUG | waiting data ......
2021-05-04 20:27:32,329 | 14034 | proxy.proxy, handle_switch, 140 | DEBUG | read b's1'
2021-05-04 20:27:32,329 | 14034 | proxy.proxy, set_switch_data, 40 | DEBUG | DataManager set data from switch b's1'
2021-05-04 20:27:32,329 | 14034 | proxy.proxy, handle_switch, 138 | DEBUG | waiting data ......
2021-05-04 20:27:32,329 | 14034 | proxy.observable, notify_observers, 48 | DEBUG | notify data to observer: b's1'
2021-05-04 20:27:32,330 | 14034 | api.observer, update, 34 | DEBUG | observed from observable: b's1'
2021-05-04 20:27:33,334 | 14034 | proxy.proxy, handle_switch, 134 | INFO | Client ('127.0.0.1', 63333) is connected
2021-05-04 20:27:33,335 | 14034 | proxy.proxy, handle_switch, 138 | DEBUG | waiting data ......
2021-05-04 20:27:33,335 | 14034 | proxy.proxy, handle_switch, 140 | DEBUG | read b's2'
2021-05-04 20:27:33,336 | 14034 | proxy.proxy, set_switch_data, 40 | DEBUG | DataManager set data from switch b's2'
