2021-05-21 10:18:57,032 | 5513 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-21 10:18:57,033 | 5513 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-21 10:19:03,785 | 5513 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 55368) is connected
2021-05-21 10:19:03,787 | 5513 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 55370) is connected
2021-05-21 10:19:03,794 | 5513 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 55372) is connected
2021-05-21 10:19:03,797 | 5513 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:19:03,800 | 5513 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00+\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,804 | 5513 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00+\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,806 | 5513 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00+\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,807 | 5513 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:19:03,808 | 5513 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:19:03,808 | 5513 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00,\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,810 | 5513 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00,\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,816 | 5513 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00,\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,817 | 5513 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:19:03,817 | 5513 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:19:03,818 | 5513 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00-\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,819 | 5513 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00-\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,820 | 5513 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00-\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-21 10:19:03,820 | 5513 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-21 10:19:03,821 | 5513 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-21 10:19:03,821 | 5513 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-21 10:19:03,821 | 5513 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\x92]\x05\x83\x04\x05\x00\x08\x92]\x05\x84'
