2021-05-05 14:09:15,416 | 3827 | proxy.proxy, start_server, 166 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 14:09:15,417 | 3827 | proxy.proxy, start_server, 169 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 14:09:18,485 | 3827 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46290) is connected
2021-05-05 14:09:18,486 | 3827 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46292) is connected
2021-05-05 14:09:18,487 | 3827 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46294) is connected
2021-05-05 14:09:18,489 | 3827 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:09:18,492 | 3827 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:09:18,493 | 3827 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:09:18,494 | 3827 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:09:18,494 | 3827 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:09:18,495 | 3827 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:09:27,003 | 3827 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46306) is connected
2021-05-05 14:09:27,010 | 3827 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46308) is connected
2021-05-05 14:09:27,015 | 3827 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46310) is connected
2021-05-05 14:09:27,025 | 3827 | proxy.proxy, handle_controller, 296 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 14:09:27,030 | 3827 | proxy.proxy, handle_controller, 301 | DEBUG | waiting data ......
2021-05-05 14:09:27,032 | 3827 | proxy.proxy, handle_controller, 296 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 14:09:27,033 | 3827 | proxy.proxy, handle_controller, 301 | DEBUG | waiting data ......
2021-05-05 14:09:27,033 | 3827 | proxy.proxy, handle_controller, 296 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 14:09:27,034 | 3827 | proxy.proxy, handle_controller, 301 | DEBUG | waiting data ......
2021-05-05 14:09:27,034 | 3827 | proxy.proxy, handle_controller, 303 | DEBUG | read b'\x04\x00\x00\x08\xa2\xda!\xd1'
2021-05-05 14:09:27,035 | 3827 | proxy.proxy, handle_controller, 310 | DEBUG | the channel is close
2021-05-05 14:09:27,043 | 3827 | proxy.proxy, handle_controller, 301 | DEBUG | waiting data ......
2021-05-05 14:09:27,047 | 3827 | proxy.proxy, handle_controller, 303 | DEBUG | read b'\x04\x00\x00\x08d\x8d[K'
2021-05-05 14:09:27,047 | 3827 | proxy.proxy, handle_controller, 310 | DEBUG | the channel is close
2021-05-05 14:09:27,048 | 3827 | proxy.proxy, handle_controller, 301 | DEBUG | waiting data ......
2021-05-05 14:09:27,048 | 3827 | proxy.proxy, handle_controller, 303 | DEBUG | read b'\x04\x00\x00\x08\x8f\x8d\xea\xf3'
2021-05-05 14:09:27,049 | 3827 | proxy.proxy, handle_controller, 310 | DEBUG | the channel is close
2021-05-05 14:09:27,049 | 3827 | proxy.proxy, handle_controller, 301 | DEBUG | waiting data ......
