2021-05-05 19:08:21,691 | 3449 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: b'\x04\n\x00T\x00\x00\x00\x00\xff\xff\xff\xff\x00*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x0c\x80\x00\x00\x04\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f'
2021-05-05 19:08:21,697 | 3449 | api.observer, update, 33 | DEBUG | observed from observable: b'\x04\n\x00T\x00\x00\x00\x00\xff\xff\xff\xff\x00*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x0c\x80\x00\x00\x04\x00\x00\x00\x01\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f'
2021-05-05 19:08:21,700 | 3449 | api.observer, update, 36 | DEBUG | parsed message : openflow(msg=OFPPacketIn(buffer_id=4294967295,cookie=0,data=b'\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f',match=OFPMatch(oxm_fields={'in_port': 1}),reason=0,table_id=0,total_len=42))
2021-05-05 19:08:21,708 | 3449 | proxy.proxy, handle_controller, 345 | DEBUG | read b'\x04\r\x00R\xea\x9b\x9f\x92\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f'
2021-05-05 19:08:21,710 | 3449 | proxy.proxy, send_to_switch, 274 | DEBUG | sent data to switch: b'\x04\r\x00R\xea\x9b\x9f\x92\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f'
2021-05-05 19:08:21,711 | 3449 | proxy.proxy, send_to_switch, 89 | DEBUG | set data and sent to switch : b'\x04\r\x00R\xea\x9b\x9f\x92\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f'
2021-05-05 19:08:21,714 | 3449 | proxy.proxy, handle_controller, 343 | DEBUG | waiting data ......
2021-05-05 19:08:21,721 | 3449 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: b'\x04\r\x00R\xea\x9b\x9f\x92\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f'
2021-05-05 19:08:21,722 | 3449 | api.observer, update, 33 | DEBUG | observed from observable: b'\x04\r\x00R\xea\x9b\x9f\x92\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f'
2021-05-05 19:08:21,723 | 3449 | api.observer, update, 36 | DEBUG | parsed message : openflow(msg=OFPUnparseableMsg(body=b'\xff\xff\xff\xff\x00\x00\x00\x01\x00\x10\x00\x00\x00\x00\x00\x00\x00\x00\x00\x10\xff\xff\xff\xfb\xff\xe5\x00\x00\x00\x00\x00\x00\xff\xff\xff\xff\xff\xffr\x8f?\x8b\xff\xf9\x08\x06\x00\x01\x08\x00\x06\x04\x00\x01r\x8f?\x8b\xff\xf9\n\x00\x00\x04\x00\x00\x00\x00\x00\x00\n\x00\x00\x0f',buf=None,datapath=<ryu.ofproto.ofproto_protocol.ProtocolDesc object at 0x7f71985bae80>,msg_len=82,msg_type=13,version=4,xid=3936067474))
2021-05-05 19:08:21,729 | 3449 | proxy.proxy, handle_switch, 238 | DEBUG | read b'\x04\n\x00T\x00\x00\x00\x00\xff\xff\xff\xff\x00*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x0c\x80\x00\x00\x04\x00\x00\x00\x06\x00\x00\x00\x00\x00\x00r\x8f?\x8b\xff\xf9\xce\xba\x10O\xf4\xf1\x08\x06\x00\x01\x08\x00\x06\x04\x00\x02\xce\xba\x10O\xf4\xf1\n\x00\x00\x0fr\x8f?\x8b\xff\xf9\n\x00\x00\x04'
2021-05-05 19:08:21,738 | 3449 | proxy.proxy, send_to_controller, 379 | DEBUG | sent data to controller: b'\x04\n\x00T\x00\x00\x00\x00\xff\xff\xff\xff\x00*\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x00\x01\x00\x0c\x80\x00\x00\x04\x00\x00\x00\x06\x00\x00\x00\x00\x00\x00r\x8f?\x8b\xff\xf9\xce\xba\x10O\xf4\xf1\x08\x06\x00\x01\x08\x00\x06\x04\x00\x02\xce\xba\x10O\xf4\xf1\n\x00\x00\x0fr\x8f?\x8b\xff\xf9\n\x00\x00\x04'
