2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,516 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,517 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,517 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,517 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,517 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,517 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,518 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,518 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,519 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 08:44:19,519 | 17583 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 08:44:19,519 | 17583 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 08:44:19,519 | 17583 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
