2021-05-05 09:27:00,383 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:00,384 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:00,385 | 3179 | proxy.proxy, start_server, 132 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 09:27:00,386 | 3179 | proxy.proxy, start_server, 135 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 09:27:05,388 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:05,388 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:10,393 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:10,394 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:15,400 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:15,400 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:20,403 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:20,404 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:25,408 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:25,408 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:30,411 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:30,412 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:35,416 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:35,417 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:40,425 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:40,425 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:42,438 | 3179 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41278) is connected
2021-05-05 09:27:42,438 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:42,440 | 3179 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:27:42,440 | 3179 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:27:42,441 | 3179 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:27:45,158 | 3179 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41280) is connected
2021-05-05 09:27:45,159 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:45,161 | 3179 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41282) is connected
2021-05-05 09:27:45,162 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:45,168 | 3179 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41284) is connected
2021-05-05 09:27:45,179 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:45,185 | 3179 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x03\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:27:45,191 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:45,198 | 3179 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x04\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:27:45,205 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:45,228 | 3179 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x05\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:27:45,230 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:45,433 | 3179 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:27:45,434 | 3179 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:27:46,358 | 3179 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:27:46,359 | 3179 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:27:46,359 | 3179 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:27:46,359 | 3179 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:27:46,359 | 3179 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:27:46,360 | 3179 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:27:46,360 | 3179 | proxy.proxy, handle_switch, 157 | DEBUG | read b''
2021-05-05 09:27:46,361 | 3179 | proxy.proxy, handle_switch, 159 | DEBUG | no data from switch read
2021-05-05 09:27:46,362 | 3179 | proxy.proxy, handle_switch, 170 | INFO | Close the connection and do exit processing
2021-05-05 09:27:47,360 | 3179 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41288) is connected
2021-05-05 09:27:47,361 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:47,361 | 3179 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41290) is connected
2021-05-05 09:27:47,362 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:47,362 | 3179 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 41292) is connected
2021-05-05 09:27:47,363 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:27:47,363 | 3179 | proxy.proxy, handle_switch, 157 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x06\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 09:27:47,364 | 3179 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
