2021-05-18 14:20:57,116 | 3455 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-18 14:20:57,117 | 3455 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-18 14:20:59,216 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45736) is connected
2021-05-18 14:20:59,226 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:20:59,229 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:20:59,231 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45738) is connected
2021-05-18 14:20:59,233 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45740) is connected
2021-05-18 14:20:59,234 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:20:59,235 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:20:59,236 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:20:59,244 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:07,811 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45748) is connected
2021-05-18 14:21:07,812 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45750) is connected
2021-05-18 14:21:07,816 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45752) is connected
2021-05-18 14:21:07,841 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:07,841 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:07,842 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:07,843 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:07,843 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:07,854 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:16,352 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45762) is connected
2021-05-18 14:21:16,353 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45764) is connected
2021-05-18 14:21:16,354 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45766) is connected
2021-05-18 14:21:16,356 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:16,356 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:16,357 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:16,361 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:16,368 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:16,373 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:24,413 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45774) is connected
2021-05-18 14:21:24,416 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45776) is connected
2021-05-18 14:21:24,419 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45778) is connected
2021-05-18 14:21:24,421 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:24,422 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:24,429 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:24,429 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:24,434 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:24,437 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:33,063 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45788) is connected
2021-05-18 14:21:33,066 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45790) is connected
2021-05-18 14:21:33,068 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45792) is connected
2021-05-18 14:21:33,069 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:33,088 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:33,094 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:33,095 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:33,097 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:33,189 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:41,421 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45800) is connected
2021-05-18 14:21:41,422 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45802) is connected
2021-05-18 14:21:41,423 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45804) is connected
2021-05-18 14:21:41,425 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:41,426 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:41,426 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:41,427 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:41,428 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:41,428 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:49,600 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45812) is connected
2021-05-18 14:21:49,603 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45814) is connected
2021-05-18 14:21:49,604 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45816) is connected
2021-05-18 14:21:49,605 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:49,606 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:49,606 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:49,607 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:49,608 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:49,608 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:58,380 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45828) is connected
2021-05-18 14:21:58,383 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45830) is connected
2021-05-18 14:21:58,415 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45832) is connected
2021-05-18 14:21:58,417 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:58,418 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:58,420 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:58,424 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:21:58,427 | 3455 | proxy.proxy, open_connection, 338 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-18 14:21:58,432 | 3455 | proxy.proxy, create_channel, 172 | DEBUG | no connectable controller
2021-05-18 14:22:06,897 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45844) is connected
2021-05-18 14:22:06,899 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45846) is connected
2021-05-18 14:22:06,903 | 3455 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 45848) is connected
2021-05-18 14:22:06,904 | 3455 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:22:06,908 | 3455 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x1b\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:22:06,909 | 3455 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x1b\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:22:06,911 | 3455 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x1b\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:22:06,913 | 3455 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:22:06,915 | 3455 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:22:06,917 | 3455 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x1c\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:22:06,921 | 3455 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00\x1c\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:22:06,921 | 3455 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00\x1c\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:22:06,922 | 3455 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:22:06,923 | 3455 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:22:06,923 | 3455 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\x1d\x00\x01\x00\x08\x00\x00\x00\x10'
