2021-05-05 14:05:14,384 | 3785 | proxy.proxy, start_server, 166 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 14:05:14,385 | 3785 | proxy.proxy, start_server, 169 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 14:05:16,525 | 3785 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46014) is connected
2021-05-05 14:05:16,526 | 3785 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46016) is connected
2021-05-05 14:05:16,529 | 3785 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46018) is connected
2021-05-05 14:05:16,530 | 3785 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:05:16,538 | 3785 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:05:16,540 | 3785 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:05:16,541 | 3785 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:05:16,542 | 3785 | proxy.proxy, open_connection, 279 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 14:05:16,544 | 3785 | proxy.proxy, create_channel, 114 | DEBUG | no connectable controller
2021-05-05 14:05:25,042 | 3785 | proxy.proxy, handle_switch, 183 | INFO | Client ('127.0.0.1', 46030) is connected
2021-05-05 14:05:25,046 | 3785 | proxy.proxy, handle_controller, 296 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-05 14:05:25,047 | 3785 | proxy.proxy, handle_controller, 301 | DEBUG | waiting data ......
2021-05-05 14:05:25,048 | 3785 | proxy.proxy, handle_controller, 303 | DEBUG | read b'\x04\x00\x00\x08\x85\x9f_w'
2021-05-05 14:05:25,049 | 3785 | proxy.proxy, handle_controller, 310 | DEBUG | the channel is close
2021-05-05 14:05:25,049 | 3785 | proxy.proxy, handle_controller, 301 | DEBUG | waiting data ......
2021-05-05 14:05:25,051 | 3785 | proxy.proxy, handle_controller, 316 | INFO | Close the connection and do exit processing
2021-05-05 14:05:25,053 | 3785 | asyncio, default_exception_handler, 1707 | ERROR | Task was destroyed but it is pending!
task: <Task pending name='Task-12' coro=<SwitchHandler.handle_switch() done, defined at /home/shu/Network/ofcapture/proxy/proxy.py:172> wait_for=<Future pending cb=[<TaskWakeupMethWrapper object at 0x7f90500c79d0>()]>>
