2021-05-05 10:22:46,683 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:46,684 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:46,685 | 6186 | proxy.proxy, start_server, 136 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 10:22:46,686 | 6186 | proxy.proxy, start_server, 139 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 10:22:46,711 | 6186 | proxy.proxy, handle_switch, 153 | INFO | Client ('127.0.0.1', 52884) is connected
2021-05-05 10:22:46,716 | 6186 | proxy.proxy, handle_switch, 159 | DEBUG | waiting data ......
2021-05-05 10:22:46,717 | 6186 | proxy.proxy, handle_switch, 161 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00\xeb\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 10:22:46,718 | 6186 | proxy.proxy, set_switch_data, 49 | DEBUG | don't add queue because no channel b'\x04\x00\x00\x10\x00\x00\x00\xeb\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-05 10:22:46,718 | 6186 | proxy.proxy, handle_switch, 159 | DEBUG | waiting data ......
2021-05-05 10:22:51,692 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,693 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,694 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,707 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,709 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,713 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,714 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,716 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,717 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,718 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,727 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,728 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,729 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,732 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,733 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,734 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,737 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,743 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,744 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,744 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,745 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,746 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,749 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,750 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,752 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,757 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,758 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,758 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
2021-05-05 10:22:51,759 | 6186 | proxy.proxy, open_connection, 247 | ERROR | Failed to connect to controller : [Errno 111] Connect call failed ('127.0.0.1', 6633)
2021-05-05 10:22:51,768 | 6186 | proxy.proxy, open_connection, 251 | DEBUG | reconnect to controller a few seconds later
