2021-05-05 09:05:05,341 | 17871 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:05:05,342 | 17871 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:05:05,343 | 17871 | proxy.proxy, start_server, 132 | INFO | Server on ('127.0.0.1', 63333)
2021-05-05 09:05:05,343 | 17871 | proxy.proxy, start_server, 135 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-05 09:05:10,343 | 17871 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:05:10,343 | 17871 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:05:15,345 | 17871 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:05:15,348 | 17871 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:05:20,352 | 17871 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:05:20,352 | 17871 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:05:25,356 | 17871 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:05:25,356 | 17871 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:05:30,362 | 17871 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:05:30,362 | 17871 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:05:35,364 | 17871 | proxy.proxy, open_connection, 242 | ERROR | Failed to connect to controller : [Errno 61] Connect call failed ('127.0.0.1', 6653)
2021-05-05 09:05:35,364 | 17871 | proxy.proxy, open_connection, 248 | DEBUG | reconnect to controller a few seconds later
2021-05-05 09:05:37,480 | 17871 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 59925) is connected
2021-05-05 09:05:37,480 | 17871 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:05:37,480 | 17871 | proxy.proxy, handle_switch, 157 | DEBUG | read b's0'
2021-05-05 09:05:37,481 | 17871 | proxy.proxy, handle_switch, 155 | DEBUG | waiting data ......
2021-05-05 09:05:38,482 | 17871 | proxy.proxy, handle_switch, 149 | INFO | Client ('127.0.0.1', 59926) is connected
