2021-05-18 14:35:47,013 | 4061 | proxy.proxy, start_server, 224 | INFO | Server on ('127.0.0.1', 63333)
2021-05-18 14:35:47,013 | 4061 | proxy.proxy, start_server, 227 | INFO | Server serve forever ('127.0.0.1', 63333)
2021-05-18 14:35:52,151 | 4061 | proxy.proxy, handle_switch, 241 | INFO | Client ('127.0.0.1', 46566) is connected
2021-05-18 14:35:52,159 | 4061 | proxy.proxy, handle_switch, 252 | DEBUG | waiting data ......
2021-05-18 14:35:52,160 | 4061 | proxy.proxy, handle_controller, 355 | INFO | connected Controller ('127.0.0.1', 6633)
2021-05-18 14:35:52,161 | 4061 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-18 14:35:52,161 | 4061 | proxy.proxy, handle_controller, 362 | DEBUG | read b'\x04\x00\x00\x08\x87{w\xa3'
2021-05-18 14:35:52,162 | 4061 | proxy.proxy, send_to_switch, 291 | DEBUG | sent data to switch: b'\x04\x00\x00\x08\x87{w\xa3'
2021-05-18 14:35:52,162 | 4061 | proxy.proxy, send_to_switch, 92 | DEBUG | set data and sent to switch : b'\x04\x00\x00\x08\x87{w\xa3'
2021-05-18 14:35:52,164 | 4061 | proxy.proxy, handle_controller, 360 | DEBUG | waiting data ......
2021-05-18 14:35:52,164 | 4061 | proxy.observable, notify_observers, 63 | DEBUG | notify data to observer: <proxy.packet.Message object at 0x7f857d1c6a30>
2021-05-18 14:35:52,165 | 4061 | api.observer, update, 37 | DEBUG | observed from observable: b'\x04\x00\x00\x08\x87{w\xa3'
2021-05-18 14:35:52,166 | 4061 | api.observer, update, 42 | DEBUG | parsed message : {'header': {'version': {'enum_ref': None}, 'message_type': {}, 'length': {'enum_ref': None}, 'xid': {'enum_ref': None}}, 'elements': []}
2021-05-18 14:35:52,168 | 4061 | proxy.proxy, handle_switch, 255 | DEBUG | read b'\x04\x00\x00\x10\x00\x00\x00(\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:35:52,171 | 4061 | proxy.proxy, send_to_controller, 396 | DEBUG | sent data to controller: b'\x04\x00\x00\x10\x00\x00\x00(\x00\x01\x00\x08\x00\x00\x00\x10'
2021-05-18 14:35:52,174 | 4061 | proxy.proxy, send_to_controller, 74 | DEBUG | set data and sent to controller : b'\x04\x00\x00\x10\x00\x00\x00(\x00\x01\x00\x08\x00\x00\x00\x10'
